,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId,geometry,neighborhood
353,A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Boston,Yes,47,354,POINT (-71.055547 42.352175),Downtown
354,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Boston,Yes,19,355,POINT (-71.048927 42.378338),Charlestown
355,C32087,Spring St at Powell St,42.27748444,-71.16341468,Boston,Yes,19,356,POINT (-71.16341468 42.27748444),West Roxbury
357,B32063,St. Alphonsus St at Tremont St,42.33329255,-71.10124648,Boston,Yes,18,358,POINT (-71.10124648 42.33329255),Mission Hill
358,C32024,State Street at Channel Center,42.344137,-71.052608,Boston,Yes,19,359,POINT (-71.052608 42.344137),South Boston Waterfront
359,D32041,Stony Brook T Stop,42.316966,-71.104374,Boston,Yes,19,360,POINT (-71.104374 42.316966),Jamaica Plain
360,D32049,Stuart St at Berkeley St,42.34954403,-71.07242074,Boston,Yes,19,361,POINT (-71.07242074 42.34954403),Back Bay
361,D32011,Stuart St at Charles St,42.351146,-71.066289,Boston,Yes,18,362,POINT (-71.066289 42.351146),Downtown
362,D32053,Sullivan Square,42.38445226,-71.07514855,Boston,Yes,19,363,POINT (-71.07514855 42.38445226),Charlestown
364,A32013,Surface Rd at India St,42.358155,-71.052163,Boston,Yes,19,365,POINT (-71.052163 42.358155),Downtown
365,A32042,Surface Rd at Summer St,42.3529457,-71.05656401,Boston,Yes,27,366,POINT (-71.05656401 42.3529457),Downtown
367,C32064,Sydney St at Carson St,42.32039374,-71.05355408,Boston,Yes,19,368,POINT (-71.05355408 42.32039374),Dorchester
368,C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Boston,Yes,15,369,POINT (-71.087111 42.2945833),Dorchester
369,C32110,Talbot Ave T Station,42.29225148,-71.07797205,Boston,Yes,19,370,POINT (-71.07797205 42.29225148),Dorchester
372,E32011,The Dimock Center,42.31930943,-71.09639924,Boston,Yes,16,373,POINT (-71.09639924 42.31930943),Roxbury
373,A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Boston,Yes,15,374,POINT (-71.044201 42.370744),East Boston
374,C32028,The Lawn on D,42.344792,-71.044024,Boston,Yes,19,375,POINT (-71.044024 42.344792),South Boston Waterfront
375,D32054,The Overlook at St. Gabriel's,42.34679008,-71.14549814,Boston,Yes,18,376,POINT (-71.14549814 42.34679008),Brighton
378,C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Boston,Yes,19,379,POINT (-71.069616 42.345392),South End
379,B32056,Tremont St at Hamilton Pl,42.35668335,-71.06166646,Boston,Yes,18,380,POINT (-71.06166646 42.35668335),Downtown
380,C32056,Tremont St at Northampton St,42.3384318,-71.0816905,Boston,Yes,19,381,POINT (-71.0816905 42.3384318),Roxbury
381,C32060,Tremont St at W. Dedham St,42.34254914,-71.07421449,Boston,Yes,15,382,POINT (-71.07421449 42.34254914),South End
382,D32014,Tremont St at West St,42.354979,-71.063348,Boston,Yes,15,383,POINT (-71.063348 42.354979),Downtown
384,C32035,Troy Boston,42.343749,-71.062256,Boston,Yes,5,385,POINT (-71.062256 42.343749),South End
387,A32001,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,Boston,Yes,19,388,POINT (-71.137313 42.353334),Allston
390,C32014,University of Massachusetts Boston - Campus Center,42.31218918,-71.03648586,Boston,Yes,19,391,POINT (-71.03648586 42.31218918),Dorchester
392,A32053,Valenti Way at Haverhill St,42.36473899,-71.05934903,Boston,Yes,24,393,POINT (-71.05934903 42.36473899),West End
396,C32029,W Broadway at D St,42.3391085,-71.0514432,Boston,Yes,20,397,POINT (-71.0514432 42.3391085),South Boston
397,C32016,W Broadway at Dorchester St,42.33595898,-71.046229,Boston,Yes,17,398,POINT (-71.046229 42.33595898),South Boston
398,C32102,Walnut Ave at School St,42.31242399,-71.09616905,Boston,Yes,19,399,POINT (-71.09616905 42.31242399),Roxbury
399,D32021,Warren St at Chelsea St,42.371848,-71.060292,Boston,Yes,23,400,POINT (-71.060292 42.371848),Charlestown
402,D32029,Washington St at Brock St,42.34895285,-71.16031677,Boston,Yes,15,403,POINT (-71.16031677 42.34895285),Brighton
