"Common Name","Scientific Name","Scientific Name_url","Entity Description","ESA Listing Date","Delisting Date","Delisting Reason","Foreign or Domestic","Lead Agency"
"Kauai nukupuu","Hemignathus hanapepe","https://ecos.fws.gov/ecp/species/7637","Wherever found","03-11-1967","11-16-2023","Species is extinct","Domestic","FWS"
"Mexican duck","Anas diazi","https://ecos.fws.gov/ecp/species/3504","U.S. only","03-11-1967","07-25-1978","The listed entity does not meet the statutory definition of a species","Domestic","FWS"
"Bald Eagle","Haliaeetus leucocephalus","https://ecos.fws.gov/ecp/species/1626","U.S.A., conterminous (lower 48) States.","03-11-1967","08-08-2007","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Aleutian Canada goose","Branta canadensis leucopareia","https://ecos.fws.gov/ecp/species/3937","Wherever found","03-11-1967","03-20-2001","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
"Columbian white-tailed deer","Odocoileus virginianus leucurus","https://ecos.fws.gov/ecp/species/154","Douglas County, Oregon","03-11-1967","07-24-2003","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Hawaiian (='lo) Hawk","Buteo solitarius","https://ecos.fws.gov/ecp/species/5509","Wherever found","03-11-1967","02-03-2020","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"American alligator","Alligator mississippiensis","https://ecos.fws.gov/ecp/species/776","Wherever found","03-11-1967","06-04-1987","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Blue pike","Stizostedion vitreum glaucum","https://ecos.fws.gov/ecp/species/1010","Wherever found","03-11-1967","09-02-1983","Species is extinct","Both Domestic and Foreign","FWS"
"Delmarva Peninsula fox squirrel","Sciurus niger cinereus","https://ecos.fws.gov/ecp/species/6364","Wherever found, except where listed as an experimental population","03-11-1967","12-16-2015","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Longjaw cisco","Coregonus alpenae","https://ecos.fws.gov/ecp/species/2306","Wherever found","03-11-1967","09-02-1983","Species is extinct","Both Domestic and Foreign","FWS"
